iter	RMSE
0	1.113903045
1	1.074191948
2	1.041056191
3	1.011737758
4	0.9838366961
5	0.9606466179
6	0.9390099473
7	0.9192472782
8	0.9030355805
9	0.8882371839
10	0.8744392519
11	0.8614614549
12	0.8490764728
13	0.8383820331
14	0.8289512611
15	0.8200992047
16	0.8103720069
17	0.8026374824
18	0.7948312725
19	0.7879460432
20	0.7812258557
21	0.7750266861
22	0.7675978972
23	0.7625246975
24	0.7553625758
25	0.7497377677
26	0.7412797298
27	0.7365305362
28	0.7323027327
29	0.7269791239
30	0.7233599205
31	0.7196506545
32	0.7154818594
33	0.7106411635
34	0.7062506669
35	0.700609108
36	0.6973394716
37	0.6937654528
38	0.6907598046
39	0.6884109398
40	0.6859495728
41	0.6832494996
42	0.6792135923
43	0.6770158995
44	0.6748225895
45	0.6720401131
46	0.6699615624
47	0.6680120036
48	0.6661579333
49	0.6624482163
50	0.6605103513
51	0.6589031918
52	0.6572359481
53	0.6546313184
54	0.6505045956
55	0.6490078523
56	0.647713166
57	0.6464585777
58	0.6451398991
59	0.6440493532
60	0.6428604171
61	0.6418355671
62	0.6408173289
63	0.6397736207
64	0.6379321055
65	0.6362160481
66	0.6336619252
67	0.6326786249
68	0.6316297602
69	0.6308458163
70	0.6299170146
71	0.6290742774
72	0.628107148
73	0.6247478999
74	0.6231408663
75	0.6204487737
76	0.6196223305
77	0.6189545914
78	0.6182691553
79	0.6165573434
80	0.6156708106
81	0.6149931489
82	0.6129242048
83	0.6123440979
84	0.6111485433
85	0.6094532395
86	0.6067893331
87	0.6062678972
88	0.6055170774
89	0.6043482837
90	0.6038030167
91	0.6016514418
92	0.5997063549
93	0.5991857373
94	0.5986937642
95	0.5982212882
96	0.5978154326
97	0.5960040626
98	0.5950282699
99	0.5937408031
100	0.5924422446
101	0.5919733833
102	0.5907468904
103	0.5898874149
104	0.5886808761
105	0.5872526546
106	0.5867915601
107	0.5860449552
108	0.5856674508
109	0.5853110616
110	0.5842906285
111	0.5839262694
112	0.5834449245
113	0.583040125
114	0.5818264724
115	0.581230562
116	0.5796811725
117	0.5784137349
118	0.5780720839
119	0.5777816549
120	0.5767819196
121	0.5762425832
122	0.5759268775
123	0.574734002
124	0.5744280252
125	0.5734944522
126	0.5731480908
127	0.5728104519
128	0.5720742856
129	0.5713205076
130	0.570259632
131	0.5700049867
132	0.5692390715
133	0.5688235787
134	0.5678097215
135	0.5674804987
136	0.5672452555
137	0.5668497825
138	0.5665721419
139	0.5660007853
140	0.5654160433
141	0.5645709762
142	0.5638908095
143	0.5633789812
144	0.5625552437
145	0.5618822131
146	0.5616558607
147	0.5613904171
148	0.5611750637
149	0.5605944369
150	0.5598332151
151	0.5596025666
152	0.5592653439
153	0.5586024441
154	0.5584023379
155	0.5577965308
156	0.5576056047
157	0.5572913537
158	0.557072149
159	0.5564313638
160	0.556228398
161	0.5558126833
162	0.5556033124
163	0.5552330855
164	0.5550098022
165	0.5548478007
166	0.5543040653
167	0.5540303818
168	0.5532404793
169	0.553062026
170	0.552880605
171	0.5525905006
172	0.5524654193
173	0.5521891088
174	0.5520417579
175	0.55156114
176	0.5509108049
177	0.5505727473
178	0.5504116829
179	0.5500248846
180	0.5495313958
181	0.5493994483
182	0.5492040222
183	0.5489606889
184	0.5486870045
185	0.5485246225
186	0.548361243
187	0.5482030789
188	0.5478410351
189	0.5474592724
190	0.5473260973
191	0.5468250533
192	0.5464389391
193	0.5460391052
194	0.5456881995
195	0.5451596108
196	0.5450089087
197	0.5448700373
198	0.5447643178
199	0.5445266288
200	0.5443024089
201	0.543344755
202	0.5430505116
203	0.5429153
204	0.54270892
205	0.5425675102
206	0.5417769741
207	0.5415605268
208	0.5412946772
209	0.5411824762
210	0.541066226
211	0.5408668179
212	0.540641127
213	0.5403186663
214	0.5400091535
215	0.5398967324
216	0.5397958729
217	0.5396821858
218	0.5390201316
219	0.538810355
220	0.5386372877
221	0.5384045005
222	0.5382931714
223	0.5381074143
224	0.5379991043
225	0.5378793039
226	0.5377160682
227	0.5374190605
228	0.5368617986
229	0.5367458138
230	0.5366588605
231	0.5363963998
232	0.5359608964
233	0.535860492
234	0.5356532054
235	0.5351857932
236	0.5348003837
237	0.5341245203
238	0.5339124919
239	0.5333697926
240	0.5332195677
241	0.5326595119
242	0.5324455869
243	0.5321312318
244	0.5320459404
245	0.5317917411
246	0.5313446468
247	0.5309947291
248	0.530858865
249	0.5305952923
250	0.5303388137
251	0.5299090628
252	0.5297292151
253	0.5295486708
254	0.5294059296
255	0.5290095565
256	0.5288184321
257	0.5284818081
258	0.5281341545
259	0.5279537573
260	0.5278598295
261	0.5276790829
262	0.5272260305
263	0.5269581916
264	0.5267978515
265	0.5264267692
266	0.5262403403
267	0.5258909265
268	0.5258067061
269	0.525335626
270	0.5251114339
271	0.5250006682
272	0.5248244986
273	0.5244328739
274	0.5243454623
275	0.5241918202
276	0.5238977454
277	0.5237200192
278	0.5236321109
279	0.5233423455
280	0.5230950565
281	0.5224553756
282	0.5222973493
283	0.5221452441
284	0.5219367809
285	0.521557523
286	0.5212858954
287	0.5212049627
288	0.5210350352
289	0.5208709435
290	0.5205520193
291	0.52048575
292	0.5203040137
293	0.5201872011
294	0.5200424897
295	0.5199413537
296	0.5197605572
297	0.51945448
298	0.5192227285
299	0.5190521339
300	0.5188941047
301	0.5187232417
302	0.5184858275
303	0.5184025069
304	0.5181141875
305	0.5179573392
306	0.5176966474
307	0.5175315567
308	0.5173993578
309	0.5172499601
310	0.5169590096
311	0.5168184131
312	0.5167486755
313	0.5165926571
314	0.5164387576
315	0.5161712629
316	0.5161113772
317	0.5160173342
318	0.5158452845
319	0.5157479708
320	0.5156130525
321	0.5155134707
322	0.5153557113
323	0.515201964
324	0.5150635069
325	0.5146509209
326	0.5145972987
327	0.5144582452
328	0.5142429119
329	0.5140142514
330	0.5138186393
331	0.513615494
332	0.5135545388
333	0.5134259075
334	0.5132989489
335	0.513194275
336	0.5130763264
337	0.5129940412
338	0.5127582476
339	0.5126267027
340	0.512378409
341	0.5122457473
342	0.5121046298
343	0.5120130532
344	0.5119499375
345	0.5118826686
346	0.5118274575
347	0.5116994182
348	0.511482162
349	0.5113860137
350	0.5112413703
351	0.5110728045
352	0.5105961949
353	0.5104675966
354	0.510283574
355	0.5101501488
356	0.5099464202
357	0.509863963
358	0.5096877742
359	0.5095666664
360	0.5094339915
361	0.5093603677
362	0.5092058648
363	0.5091320001
364	0.5090182771
365	0.508922394
366	0.5088520876
367	0.5087793296
368	0.5086750579
369	0.508508089
370	0.5083650542
371	0.5082805064
372	0.5081761987
373	0.508050425
374	0.5078775691
375	0.5078171605
376	0.5077121218
377	0.5076218487
378	0.5074666335
379	0.5070648458
380	0.5068741304
381	0.5068108695
382	0.5066984478
383	0.5065500508
384	0.5064865972
385	0.506425005
386	0.5063309266
387	0.5059967883
388	0.5058882906
389	0.505622111
390	0.5055428529
391	0.5053642767
392	0.5052548538
393	0.5051441657
394	0.5049692215
395	0.5048632879
396	0.5047158152
397	0.5046383498
398	0.5045739013
399	0.5045048229
400	0.504435845
401	0.5043758714
402	0.5042388796
403	0.504166733
404	0.5040429552
405	0.5038928791
406	0.5037397413
407	0.5035739076
408	0.503525753
409	0.5032796987
410	0.50321047
411	0.5030767597
412	0.5029378374
413	0.5028075839
414	0.5026516749
415	0.5022920028
416	0.5021815102
417	0.502048264
418	0.5018979403
419	0.5017528932
420	0.5016078667
421	0.5014858877
422	0.5012687283
423	0.5011737572
424	0.5011360003
425	0.5010136654
426	0.5008814686
427	0.5007750078
428	0.5006606224
429	0.500530314
430	0.5004235669
431	0.5002989729
432	0.5001026238
433	0.5000239502
434	0.4999140506
435	0.4998036279
436	0.499628793
437	0.4995025647
438	0.499408473
439	0.4992467749
440	0.4991341392
441	0.4990378935
442	0.49893597
443	0.4988268192
444	0.4987730132
445	0.4985290936
446	0.4984717385
447	0.4983652678
448	0.4982071983
449	0.4981020364
450	0.4980322508
451	0.4979015408
452	0.497769348
453	0.4975908591
454	0.4974670937
455	0.4973674259
456	0.4972768784
457	0.4971197752
458	0.4970260315
459	0.4969017202
460	0.4968069253
461	0.4966904934
462	0.4965459818
463	0.4964577876
464	0.4964109908
465	0.4963188279
466	0.4962730852
467	0.4962106502
468	0.4961346637
469	0.4960287111
470	0.4958742898
471	0.4957952175
472	0.4956674773
473	0.4955495944
474	0.4953547248
475	0.4952634627
476	0.4951892828
477	0.495068677
478	0.4949851988
479	0.4948571181
480	0.4947376419
481	0.4946406679
482	0.494535602
483	0.4944099842
484	0.4943306701
485	0.4942255712
486	0.4941799819
487	0.4940966971
488	0.4940135305
489	0.4939352255
490	0.4938293866
491	0.4937662457
492	0.4936212278
493	0.4935692533
494	0.4935195252
495	0.4934508759
496	0.4933099396
497	0.4932330651
498	0.4931004641
499	0.4930441862
500	0.4929807017
501	0.4929036132
502	0.4928015132
503	0.492748485
504	0.4927033667
505	0.4926048529
506	0.4925150568
507	0.4924040811
508	0.4923327853
509	0.4922912575
510	0.4921739644
511	0.4921070335
512	0.4920485692
513	0.4919519455
514	0.4918828531
515	0.4915508499
516	0.4914700537
517	0.4914174805
518	0.4913815519
519	0.4912622799
520	0.4911707297
521	0.491038646
522	0.4909586931
523	0.4908465394
524	0.490748412
525	0.4906675133
526	0.4906021197
527	0.4905253469
528	0.4904795445
529	0.4903922884
530	0.490305101
531	0.4902033917
532	0.4901506651
533	0.4900449976
534	0.489997284
535	0.4899082613
536	0.4898575943
537	0.4898003682
538	0.4897052911
539	0.4896392484
540	0.4895483582
541	0.4894286715
542	0.4893587165
543	0.4892107309
544	0.4891382739
545	0.4890893616
546	0.4889942784
547	0.4889214046
548	0.4888570415
549	0.4887242627
550	0.4886894214
551	0.4886306484
552	0.4883481546
553	0.4882481673
554	0.4881574839
555	0.488044947
556	0.487920406
557	0.4878486938
558	0.4877732846
559	0.4876878548
560	0.487635878
561	0.4875412903
562	0.4874317326
563	0.4873409891
564	0.487219457
565	0.4871760941
566	0.4870966631
567	0.4870128924
568	0.4869317046
569	0.4868678629
570	0.4867401116
571	0.4866739618
