iter	Passed	Remaining
0	55	55377
1	56	28395
2	58	19349
3	59	14863
4	61	12169
5	62	10372
6	63	9075
7	65	8123
8	67	7403
9	68	6793
10	69	6284
11	71	5879
12	73	5558
13	74	5236
14	75	4955
15	76	4713
16	77	4496
17	78	4299
18	79	4126
19	81	3975
20	82	3832
21	83	3706
22	84	3595
23	86	3502
24	87	3407
25	88	3311
26	89	3223
27	90	3149
28	92	3080
29	93	3010
30	94	2943
31	95	2879
32	96	2824
33	97	2766
34	98	2708
35	99	2657
36	100	2605
37	101	2558
38	101	2513
39	102	2470
40	103	2429
41	104	2389
42	105	2355
43	106	2320
44	107	2287
45	108	2258
46	110	2231
47	111	2203
48	113	2193
49	114	2175
50	115	2155
51	117	2137
52	118	2119
53	119	2098
54	120	2078
55	122	2060
56	123	2043
57	124	2026
58	125	2009
59	127	1994
60	128	1982
61	130	1968
62	131	1955
63	132	1944
64	134	1931
65	135	1918
66	136	1906
67	138	1893
68	139	1879
69	140	1867
70	141	1854
71	143	1844
72	144	1834
73	145	1826
74	147	1816
75	148	1806
76	149	1796
77	151	1786
78	152	1778
79	154	1771
80	155	1764
81	156	1756
82	158	1746
83	159	1742
84	161	1735
85	162	1727
86	164	1721
87	165	1717
88	167	1710
89	168	1702
90	169	1695
91	171	1689
92	172	1681
93	174	1678
94	175	1675
95	177	1670
96	178	1663
97	179	1656
98	181	1649
99	182	1645
100	184	1644
101	186	1639
102	187	1634
103	189	1632
104	191	1629
105	192	1625
106	194	1622
107	196	1619
108	197	1615
109	199	1612
110	200	1608
111	202	1604
112	203	1600
113	205	1600
114	207	1596
115	208	1592
116	210	1588
117	211	1584
118	213	1580
119	215	1577
120	216	1574
121	218	1574
122	221	1580
123	223	1577
124	224	1572
125	226	1568
126	227	1564
127	229	1560
128	230	1559
129	232	1557
130	234	1555
131	236	1556
132	238	1554
133	240	1555
134	242	1554
135	244	1551
136	246	1549
137	247	1546
138	249	1542
139	250	1539
140	252	1539
141	254	1536
142	255	1533
143	257	1529
144	258	1526
145	260	1525
146	262	1522
147	264	1520
148	265	1517
149	267	1518
150	269	1515
151	271	1513
152	272	1510
153	274	1508
154	276	1506
155	277	1503
156	279	1500
157	281	1498
158	283	1497
159	284	1495
160	286	1492
161	287	1489
162	289	1486
163	291	1484
164	292	1482
165	294	1479
166	296	1478
167	298	1477
168	300	1475
169	301	1472
170	303	1469
171	304	1467
172	306	1465
173	308	1463
174	309	1461
175	311	1459
176	315	1464
177	317	1463
178	319	1463
179	321	1463
180	322	1461
181	324	1458
182	326	1457
183	328	1456
184	330	1454
185	331	1452
186	334	1454
187	336	1454
188	339	1457
189	341	1456
190	343	1456
191	345	1455
192	348	1455
193	349	1452
194	351	1451
195	353	1449
196	355	1448
197	357	1446
198	359	1445
199	361	1444
200	362	1441
201	364	1440
202	366	1437
203	367	1435
204	369	1433
205	371	1430
206	373	1429
207	375	1429
208	377	1427
209	378	1425
210	380	1422
211	382	1420
212	383	1418
213	385	1416
214	387	1414
215	389	1412
216	391	1411
217	393	1410
218	395	1411
219	397	1409
220	399	1407
221	401	1405
222	402	1402
223	404	1399
224	405	1397
225	407	1396
226	409	1394
227	410	1391
228	412	1389
229	414	1387
230	415	1384
231	417	1381
232	418	1378
233	420	1377
234	422	1375
235	424	1373
236	425	1370
237	427	1367
238	428	1364
239	429	1361
240	431	1358
241	433	1358
242	435	1356
243	437	1355
244	439	1353
245	440	1351
246	442	1348
247	443	1345
248	445	1343
249	447	1341
250	448	1339
251	450	1336
252	451	1333
253	453	1331
254	455	1329
255	456	1326
256	458	1324
257	459	1321
258	460	1317
259	461	1314
260	463	1312
261	464	1309
262	466	1307
263	468	1306
264	469	1303
265	471	1300
266	472	1297
267	473	1293
268	474	1290
269	476	1287
270	477	1284
271	479	1282
272	480	1279
273	482	1277
274	483	1275
275	485	1272
276	486	1270
277	488	1267
278	489	1265
279	491	1263
280	492	1260
281	493	1257
282	494	1253
283	496	1250
284	497	1247
285	498	1245
286	501	1246
287	503	1244
288	504	1241
289	505	1238
290	507	1235
291	508	1232
292	509	1229
293	510	1226
294	512	1224
295	513	1221
296	515	1219
297	516	1217
298	518	1214
299	519	1212
300	520	1208
301	521	1206
302	523	1203
303	524	1200
304	525	1197
305	526	1195
306	528	1192
307	530	1190
308	531	1189
309	533	1186
310	534	1184
311	536	1183
312	538	1181
313	539	1178
314	541	1177
315	542	1174
316	544	1172
317	545	1170
318	547	1169
319	549	1167
320	550	1164
321	551	1162
322	553	1160
323	555	1158
324	557	1157
325	558	1155
326	560	1153
327	561	1150
328	563	1148
329	564	1146
330	565	1143
331	567	1140
332	568	1138
333	569	1135
334	571	1133
335	573	1132
336	574	1130
337	576	1129
338	578	1127
339	579	1124
340	580	1122
341	581	1119
342	583	1116
343	584	1114
344	585	1112
345	587	1110
346	588	1107
347	589	1105
348	591	1102
349	592	1100
350	594	1099
351	595	1096
352	597	1094
353	598	1092
354	599	1090
355	601	1087
356	602	1085
357	603	1082
358	604	1080
359	606	1078
360	608	1076
361	609	1074
362	611	1073
363	613	1071
364	614	1069
365	616	1067
366	617	1064
367	619	1063
368	620	1061
369	622	1059
370	623	1057
371	625	1055
372	626	1053
373	628	1051
374	629	1049
375	631	1048
376	633	1046
377	634	1044
378	635	1041
379	637	1039
380	638	1038
381	640	1036
382	641	1034
383	643	1031
384	644	1029
385	645	1027
386	647	1025
387	648	1023
388	650	1021
389	652	1019
390	653	1017
391	654	1015
392	656	1013
393	657	1011
394	658	1009
395	660	1006
396	661	1004
397	662	1001
398	663	999
399	664	997
400	665	994
401	667	992
402	668	990
403	669	988
404	671	986
405	672	984
406	673	981
407	675	979
408	676	977
409	677	974
410	678	972
411	679	969
412	680	967
413	681	965
414	683	962
415	684	960
416	686	959
417	687	957
418	688	955
419	690	953
420	691	951
421	692	949
422	694	947
423	695	944
424	696	942
425	698	940
426	699	939
427	701	938
428	703	936
429	704	934
430	706	932
431	707	930
432	709	928
433	710	927
434	712	925
435	714	924
436	716	923
437	718	922
438	720	921
439	722	919
440	724	918
441	725	916
442	727	914
443	728	912
444	730	910
445	731	909
446	733	907
447	735	905
448	736	903
449	737	901
450	739	899
451	740	897
452	742	896
453	743	894
454	745	892
455	746	890
456	747	888
457	749	886
458	750	885
459	752	883
460	753	881
461	755	879
462	756	877
463	758	875
464	759	874
465	761	872
466	762	870
467	764	869
468	766	867
469	767	865
470	769	864
471	771	862
472	772	860
473	773	858
474	775	856
475	776	854
476	778	853
477	780	851
478	781	850
479	783	848
480	784	846
481	786	845
482	787	843
483	789	841
484	790	839
485	792	837
486	794	836
487	796	835
488	797	833
489	799	832
490	801	830
491	802	828
492	804	827
493	806	826
494	808	825
495	810	823
496	812	821
497	813	820
498	815	818
499	817	817
500	819	816
501	820	814
502	822	812
503	823	810
504	825	809
505	827	807
506	828	806
507	830	804
508	832	802
509	833	800
510	834	799
511	836	797
512	838	795
513	840	794
514	842	793
515	843	791
516	845	789
517	846	787
518	847	785
519	849	783
520	851	782
521	852	780
522	854	779
523	857	778
524	858	777
525	861	776
526	863	774
527	864	772
528	866	771
529	867	769
530	868	767
531	870	765
532	872	764
533	873	762
534	875	760
535	876	758
536	877	756
537	879	754
538	880	753
539	882	751
540	884	750
541	885	748
542	886	746
543	888	744
544	889	742
545	891	740
546	892	739
547	894	737
548	895	735
549	896	733
550	898	731
551	899	730
552	901	728
553	902	726
554	904	725
555	906	723
556	907	721
557	909	720
558	912	719
559	913	718
560	915	716
561	916	714
562	918	712
563	920	711
564	921	709
565	923	707
566	924	706
567	926	704
568	927	702
569	928	700
570	930	699
571	931	697
572	933	695
573	935	694
574	936	692
575	938	690
576	940	689
577	941	687
578	943	685
579	945	684
580	947	683
581	949	681
582	951	680
583	953	679
584	955	677
585	956	675
586	958	674
587	959	672
588	961	670
589	962	668
590	964	667
591	966	665
592	969	665
593	970	663
594	972	662
595	974	660
596	975	658
597	977	656
598	978	655
599	980	653
600	982	652
601	984	650
602	986	649
603	987	647
604	989	646
605	991	644
606	993	642
607	994	641
608	996	639
609	998	638
610	1000	636
611	1001	635
612	1003	633
613	1005	631
614	1006	630
615	1008	628
616	1009	626
617	1011	625
618	1013	623
619	1015	622
620	1016	620
621	1018	619
622	1020	617
623	1022	615
624	1023	614
625	1025	612
626	1027	611
627	1028	609
628	1030	607
629	1032	606
630	1033	604
631	1035	602
632	1037	601
633	1038	599
634	1040	598
635	1042	596
636	1044	594
637	1045	593
638	1047	591
639	1049	590
640	1051	588
641	1053	587
642	1054	585
643	1056	583
644	1058	582
645	1060	580
646	1061	579
647	1063	577
648	1065	576
649	1066	574
650	1068	573
651	1072	572
652	1075	571
653	1078	570
654	1080	569
655	1084	568
656	1085	566
657	1087	565
658	1089	563
659	1090	561
660	1092	560
661	1094	558
662	1095	557
663	1097	555
664	1099	553
665	1100	551
666	1102	550
667	1104	548
668	1106	547
669	1107	545
670	1109	543
671	1110	542
672	1112	540
673	1114	539
674	1116	537
675	1117	535
676	1119	534
677	1121	532
678	1122	530
679	1124	529
680	1125	527
681	1127	525
682	1128	523
683	1129	522
684	1131	520
685	1133	518
686	1134	517
687	1136	515
688	1137	513
689	1139	511
690	1141	510
691	1142	508
692	1144	506
693	1145	505
694	1146	503
695	1148	501
696	1149	499
697	1151	498
698	1152	496
699	1153	494
700	1155	492
701	1156	490
702	1157	488
703	1158	487
704	1159	485
705	1160	483
706	1161	481
707	1163	479
708	1164	477
709	1165	476
710	1166	474
711	1168	472
712	1169	470
713	1170	468
714	1171	467
715	1173	465
716	1174	463
717	1175	461
718	1176	459
719	1178	458
720	1179	456
721	1180	454
722	1181	452
723	1183	451
724	1184	449
725	1186	447
726	1188	446
727	1189	444
728	1191	442
729	1192	441
730	1194	439
731	1195	437
732	1196	435
733	1198	434
734	1200	432
735	1201	430
736	1202	429
737	1203	427
738	1205	425
739	1206	423
740	1208	422
741	1209	420
742	1210	418
743	1212	417
744	1213	415
745	1215	413
746	1216	412
747	1217	410
748	1218	408
749	1220	406
750	1221	405
751	1222	403
752	1224	401
753	1225	399
754	1226	398
755	1228	396
756	1229	394
757	1231	393
758	1232	391
759	1233	389
760	1235	387
761	1236	386
762	1237	384
763	1239	382
764	1240	380
765	1241	379
766	1242	377
767	1244	375
768	1246	374
769	1247	372
770	1248	370
771	1249	369
772	1251	367
773	1252	365
774	1253	363
775	1254	362
776	1256	360
777	1257	358
778	1258	357
779	1260	355
780	1262	353
781	1263	352
782	1264	350
783	1266	348
784	1267	347
785	1268	345
786	1269	343
787	1270	341
788	1271	340
789	1272	338
790	1274	336
791	1275	335
792	1277	333
793	1278	331
794	1280	330
795	1281	328
796	1282	326
797	1283	325
798	1285	323
799	1286	321
800	1287	319
801	1288	318
802	1290	316
803	1291	314
804	1293	313
805	1294	311
806	1296	309
807	1297	308
808	1299	306
809	1300	305
810	1301	303
811	1302	301
812	1304	299
813	1305	298
814	1307	296
815	1308	295
816	1309	293
817	1310	291
818	1312	289
819	1313	288
820	1314	286
821	1315	284
822	1316	283
823	1317	281
824	1319	279
825	1320	278
826	1321	276
827	1324	275
828	1325	273
829	1327	271
830	1328	270
831	1330	268
832	1331	266
833	1333	265
834	1334	263
835	1336	262
836	1337	260
837	1339	258
838	1340	257
839	1341	255
840	1343	253
841	1344	252
842	1345	250
843	1347	248
844	1348	247
845	1349	245
846	1350	243
847	1351	242
848	1354	240
849	1355	239
850	1356	237
851	1358	235
852	1359	234
853	1360	232
854	1362	230
855	1363	229
856	1364	227
857	1365	226
858	1367	224
859	1368	222
860	1369	221
861	1371	219
862	1372	217
863	1373	216
864	1375	214
865	1376	212
866	1377	211
867	1378	209
868	1379	208
869	1381	206
870	1382	204
871	1383	203
872	1385	201
873	1386	199
874	1388	198
875	1389	196
876	1390	195
877	1391	193
878	1393	191
879	1394	190
880	1395	188
881	1396	186
882	1397	185
883	1398	183
884	1399	181
885	1400	180
886	1402	178
887	1403	176
888	1404	175
889	1405	173
890	1406	172
891	1407	170
892	1408	168
893	1410	167
894	1411	165
895	1412	163
896	1413	162
897	1415	160
898	1416	159
899	1417	157
900	1419	155
901	1420	154
902	1421	152
903	1422	151
904	1424	149
905	1425	147
906	1426	146
907	1427	144
908	1428	143
909	1430	141
910	1431	139
911	1432	138
912	1434	136
913	1435	135
914	1436	133
915	1438	131
916	1439	130
917	1440	128
918	1442	127
919	1443	125
920	1444	123
921	1446	122
922	1447	120
923	1448	119
924	1449	117
925	1450	115
926	1452	114
927	1453	112
928	1455	111
929	1456	109
930	1458	108
931	1459	106
932	1460	104
933	1461	103
934	1463	101
935	1465	100
936	1466	98
937	1468	97
938	1469	95
939	1470	93
940	1471	92
941	1473	90
942	1474	89
943	1476	87
944	1478	86
945	1480	84
946	1481	82
947	1482	81
948	1483	79
949	1485	78
950	1486	76
951	1488	75
952	1489	73
953	1490	71
954	1492	70
955	1493	68
956	1495	67
957	1497	65
958	1498	64
959	1499	62
960	1501	60
961	1502	59
962	1503	57
963	1505	56
964	1506	54
965	1508	53
966	1510	51
967	1512	49
968	1513	48
969	1515	46
970	1517	45
971	1518	43
972	1520	42
973	1529	40
974	1531	39
975	1532	37
976	1536	36
977	1539	34
978	1542	33
979	1545	31
980	1547	29
981	1548	28
982	1550	26
983	1551	25
984	1553	23
985	1554	22
986	1556	20
987	1558	18
988	1559	17
989	1561	15
990	1562	14
991	1564	12
992	1566	11
993	1567	9
994	1568	7
995	1570	6
996	1572	4
997	1573	3
998	1575	1
999	1576	0
